Blog Category,Blog Title,Blog Catchphrase,Blog Link,Author Name,Thumbnail Link
Fashion,H&M just dropped its most epic party season collection ever with sustainability front of mind (and it's already selling out!),Gigi Hadid and Kaia Gerber are huge fans.,https://www.glamourmagazine.co.uk/gallery/handm-2021-christmas-collection,Charlie Teather ,https://media.glamourmagazine.co.uk/photos/6193dbea771417e16079077c/4:3/w_1600%2Cc_limit/HM161121_DEFAULT1.jpg
Lingerie,"The best stick-on bras, invisible bras and nipple tape to solve all your festive outfit woes","Go backless, plunging or strapless.",https://www.glamourmagazine.co.uk/gallery/invisible-bras-nipple-tape,Sophie Cockett ,https://media.glamourmagazine.co.uk/photos/6138a656a8f6b78280dd7b6b/4:3/w_1600%2Cc_limit/screen-shot-2021-07-26-at-111454_sq.jpg
Celebrity Style,Nicole Kidman looks like a Disney queen in this strapless tulle ball gown ,Regal! Royal!,https://www.glamourmagazine.co.uk/article/nicole-kidman-strapless-armani-dress,Christopher Rosa ,https://media.glamourmagazine.co.uk/photos/61b083f8444abe7b17501975/4:3/w_1600%2Cc_limit/KIDMAN081221_DEFAULT2GettyImages-1357630908.jpg
Fashion,Gucci and Ganni are among the winners for their cruelty-free progress at the PETA Fashion Awards 2021,"""Everybody in fashion wants to join the animal-free revolution.""",https://www.glamourmagazine.co.uk/article/peta-fashion-awards-2021,Fiona Ward ,https://media.glamourmagazine.co.uk/photos/61af80f6444abe7b175018f8/4:3/w_1600%2Cc_limit/PETA071221_DEFAULT2House-of-Sunny.jpg
Celebrity Style,Scarlett Johansson just wore a plunging halter dress with more sequins than I’ve ever seen,ScarJo is ready for the holidays.,https://www.glamourmagazine.co.uk/article/scarlett-johansson-wore-a-sequin-plunging-halter-dress,Carrie Wittmer ,https://media.glamourmagazine.co.uk/photos/61af3595bfc20a0181dba083/4:3/w_1600%2Cc_limit/SCARJO071221_DEFAULT1GettyImages-1203663343.jpg
Fashion,The £10 fleece-lined tights going viral on TikTok are the ultimate hack to staying warm this Christmas,"Trust us, this isn't something you want to scroll past.",https://www.glamourmagazine.co.uk/article/fleece-lined-tights-tiktok,Sapna Rao ,https://media.glamourmagazine.co.uk/photos/61aa1eda9ee1bb5c152f31c0/4:3/w_1600%2Cc_limit/TIGHTS031221_DEFAULTGettyImages-1287106932.jpg
Fashion,"Patricia Field, AKA the brains behind Emily in Paris's wardrobe, opens up about working with Lily Collins, the Carrie Bradshaw comparisons, & her plans for season three (!)",Season 2 lands on Netflix at the end of the month.,https://www.glamourmagazine.co.uk/article/emily-in-paris-patricia-field-interview,Charlie Teather ,https://media.glamourmagazine.co.uk/photos/61a8f0fb9ee1bb5c152f3165/4:3/w_1600%2Cc_limit/EIP021221_DEFAULTsq.jpg
Bags & Handbags,"Emily in Paris knows a thing or two about accessories, and you can shop all of her Season Two favourites right here",We've found dupes for all of Lily Collins' upcoming looks.,https://www.glamourmagazine.co.uk/article/emily-in-paris-handbags,Alexander Ron Sophie Cockett ,https://media.glamourmagazine.co.uk/photos/61a8ad9ff467fab29bbc90f5/4:3/w_1600%2Cc_limit/EMILYINPARIS021221_DEFAULT1EIP_202_Unit_01962R2.jpg
Fashion,Looking for a clutch bag to finish off your festive *lewk*? We’ve found 19 of the best to carry all party season long,To have and to hold.,https://www.glamourmagazine.co.uk/article/clutch-bags,Alexandra Fullerton ,https://media.glamourmagazine.co.uk/photos/61a75cadf72718579da6fa89/4:3/w_1600%2Cc_limit/CLUTCHBAGS_011221_GettyImages-1339975968_SQ.jpg
Fashion,"All the And Just Like That outfits you *need* to see as Carrie, Charlotte and Miranda return to our screens",How have the women's styles changed during their 18-year absence?,https://www.glamourmagazine.co.uk/gallery/and-just-like-that-fashion,Charlie Teather ,https://media.glamourmagazine.co.uk/photos/61b0e0fd444abe7b175019be/4:3/w_1600%2Cc_limit/JLTOUTFITS081221_DEFAULT2GettyImages-1329720693.jpg
Dresses,These are the most in demand designer party dresses to wear to *every* festive do in your diary,Your foolproof solution to looking put together is always a designer dress.,https://www.glamourmagazine.co.uk/gallery/best-designer-dresses,Alexandra Fullerton ,https://media.glamourmagazine.co.uk/photos/61b0beac0065e93b8beb444a/4:3/w_1600%2Cc_limit/PARTYDRESS081221_DEFAULT1.jpg
Fashion,The best Christmas jumpers inspired by Princess Diana's epic knitwear wardrobe that you'll actually want to wear all season long,Tis the season.,https://www.glamourmagazine.co.uk/gallery/christmas-jumpers,Ali Belamant Georgia Trodd ,https://media.glamourmagazine.co.uk/photos/61b0d0e30065e93b8beb4458/4:3/w_1600%2Cc_limit/XMASJUMPERS081221_DEFAULT1.jpg
Pregnancy,The best maternity clothes that prove you don't have to sacrifice your style for your bump,Bump doesn't have to equal frump.,https://www.glamourmagazine.co.uk/gallery/best-maternity-clothes,Ali Belamant ,https://media.glamourmagazine.co.uk/photos/61b0a03d0065e93b8beb43e7/4:3/w_1600%2Cc_limit/MATERNITY081221_DEFAULT.jpg
Weddings,23 timeless black bridesmaid dresses that'll suit everyone and every budget,Black is the new black.,https://www.glamourmagazine.co.uk/gallery/black-bridesmaid-dresses,Georgia Trodd ,https://media.glamourmagazine.co.uk/photos/61ae3521ae3851072fffe706/4:3/w_1600%2Cc_limit/BRIDESMAID061221_DEFAULT1.jpg
Shopping,"The North Face puffer jacket, AKA the influencers' fave outerwear option, is back for another winter",How can something so warm be so cool?,https://www.glamourmagazine.co.uk/gallery/north-face-puffer-jacket,Sophie Cockett ,https://media.glamourmagazine.co.uk/photos/61a8d4c30fb21d538574c16d/4:3/w_1600%2Cc_limit/PUFFER021221_DEFAULT2GettyImages-1303742154.jpg
Shopping,20 best puffer jackets that are essentially like wearing a cosy hug all day long,"Winter may not technically be here yet, but it's certainly on the horizon…",https://www.glamourmagazine.co.uk/gallery/puffer-jackets-autumn-winter-2020,Charlie Teather ,https://media.glamourmagazine.co.uk/photos/613890a25ebdbf876576aba0/4:3/w_1600%2Cc_limit/puffer.jpg
Fashion,"Why UGG boots, the controversial noughties footwear trend, are all over your Instagram feed right now",Our favourite models can't get enough of them.,https://www.glamourmagazine.co.uk/gallery/celebrities-wearing-uggs,Sapna Rao ,https://media.glamourmagazine.co.uk/photos/61a9095f9ee1bb5c152f316f/4:3/w_1600%2Cc_limit/UGGS021221_DEFAULT1.jpg
Shopping,"11 mastectomy bras that are supportive, comfortable, pretty AND flattering",Because you deserve to feel your best.,https://www.glamourmagazine.co.uk/gallery/mastectomy-bras,Georgia Trodd ,https://media.glamourmagazine.co.uk/photos/61a6429c1ff61ded7f163191/4:3/w_1600%2Cc_limit/MASECTOMYBRAS_11302021_Flexifit%25E2%2584%25A2-Post-Surgery-Full-Cup_SQ.jpg
Shoes,These are the 25 best heels to wear this Christmas party season because glamour is back (with a bang),It’s time to give your trainers a break,https://www.glamourmagazine.co.uk/gallery/best-heels,Alexandra Fullerton ,https://media.glamourmagazine.co.uk/photos/61a75f6eb3ce296f1f7bc07e/4:3/w_1600%2Cc_limit/HEELSFESTIVE_011221_nikkisloveis_SQ.jpg
Fashion,23 Christmas party dresses that the fashion set are snapping up already for the festive season,It's (almost) time...,https://www.glamourmagazine.co.uk/gallery/party-dresses,Georgia Trodd ,https://media.glamourmagazine.co.uk/photos/61685c92d4d4ce030738f8b9/4:3/w_1600%2Cc_limit/XMASPARTYDRESS141021_DEFAULT1.jpg
Knitwear,"Chic knitwear to elevate your cosy looks this season, from dresses and jumpers to vests and skirts",It's officially sweater weather for the foreseeable.,https://www.glamourmagazine.co.uk/gallery/best-knitwear,Charlie Teather ,https://media.glamourmagazine.co.uk/photos/61a6300fba4237cf775cfd93/4:3/w_1600%2Cc_limit/KNITWEAR_11302021_pernilleteisbaek-_SQ.jpg
Shopping,Our bumper guide to every single accessory you need to complete your look this party season,"We're talking jewellery, hair, shoes AND bags...",https://www.glamourmagazine.co.uk/gallery/party-accessories,Sophie Cockett ,https://media.glamourmagazine.co.uk/photos/61a636d836a49c99a0256e0b/4:3/w_1600%2Cc_limit/XMASACCESSORIES_11302021_GettyImages-1334854814_SQ.jpg
Lifestyle,Ever wondered what that little pocket in women’s knickers is for? (Hint: it's not for storage),Mystery solved.,https://www.glamourmagazine.co.uk/article/pocket-in-womens-underwear,Lucy Morgan ,https://media.glamourmagazine.co.uk/photos/61a608e31ff61ded7f16315f/4:3/w_1600%2Cc_limit/POCKETKNICKERS_11302021_GlamourUK_HairStory252903reTest-MOD_SQ.jpg
Celebrity News,Hailey Bieber wore a floral catsuit — and it’s the perfect combo of sexy and feminine,"Florals aren't just for spring, you know.",https://www.glamourmagazine.co.uk/article/hailey-bieber-floral-catsuit,Elizabeth Logan ,https://media.glamourmagazine.co.uk/photos/61a7557cf72718579da6fa83/4:3/w_1600%2Cc_limit/HAILEYBIEBER_011221_GettyImages-1356305877_SQ.jpg
Fashion,These are all the winners from last night's Fashion Awards in London (you'll be hearing these names a lot in 2022!),It's the most major awards ceremony on the fashion calendar.,https://www.glamourmagazine.co.uk/article/fashion-awards-nominees-winners,Charlie Teather ,https://media.glamourmagazine.co.uk/photos/61a61a1fe64afe64b6482a81/4:3/w_1600%2Cc_limit/FASHIONAWARDSWINNERS_11302021_GettyImages-1356256753_SQ.jpg
Fashion,Celebrities pay tribute to Virgil Abloh after the iconic designer's tragic death at 41,"Hailey Bieber, Gigi Hadid and Pharrell Williams joined those honouring their beloved friend.",https://www.glamourmagazine.co.uk/article/virgil-abloh-death-tributes,Charlie Teather ,https://media.glamourmagazine.co.uk/photos/61a4c3b4728cbd610aad75d9/4:3/w_1600%2Cc_limit/VIRGILTRIBUTES_291121_GettyImages-1199527154_SQ.jpg
Shopping,Charlie Chooses: The 7 pay-day designer buys that our Fashion Editor is dreaming of,We all need a bit of escapism right now.,https://www.glamourmagazine.co.uk/article/best-designer-buys,Charlie Teather ,https://media.glamourmagazine.co.uk/photos/6138abd2a35312eec27841fe/4:3/w_1600%2Cc_limit/charlie-chooses-highstreet-default.jpg
Fashion,All the Emily in Paris season 2 outfits that you *need* to see (because we're too impatient to wait for the launch),The new season lands on Netflix at the end of the month.,https://www.glamourmagazine.co.uk/gallery/emily-in-paris-outfits,Charlie Teather ,https://media.glamourmagazine.co.uk/photos/61a10992e64afe64b64829ca/4:3/w_1600%2Cc_limit/EMILY_261121_S.jpg
Face Mask,"We've found 15 soft silk face masks that will be kinder to your skin – so long, maskne",Say goodbye to maskne.,https://www.glamourmagazine.co.uk/gallery/best-silk-face-masks,Sophie Cockett Tanyel Mustafa ,https://media.glamourmagazine.co.uk/photos/613899bb5ebdbf876576b21c/4:3/w_1600%2Cc_limit/il_1140xn2643216606_ig7i_sq.jpg
Shopping,"The best blazers to add an edge to your winter wardrobe, including Kate Middleton's Reiss blazer that's finally back in stock",It sold out when Kate first wore it in September.,https://www.glamourmagazine.co.uk/gallery/best-blazers-for-women,Sophie Cockett ,https://media.glamourmagazine.co.uk/photos/61a7a8375f155204d3a91604/4:3/w_1600%2Cc_limit/KATEBLAZER011221_DEFAULT2GettyImages-1340510505.jpg
Shopping,With these Marks and Spencer discount codes you can get up to 50% off select gifting - what're you waiting for?!,M&S we love ya.,https://www.glamourmagazine.co.uk/gallery/marks-and-spencer-discount-codes,Georgia Trodd ,https://media.glamourmagazine.co.uk/photos/61a65d8d5345f7c8970bb7f3/4:3/w_1600%2Cc_limit/DISCOUNTCODES301121_DEFAULTsq.jpg
GLAMOUR Shops,Glamour Shops: New fashion and accessories drops we're adding to our winter wardrobes,*Adds to cart*,https://www.glamourmagazine.co.uk/gallery/glamour-shops-fashion,,https://media.glamourmagazine.co.uk/photos/618d3a1f0382ea26a0624d7d/4:3/w_1600%2Cc_limit/PMaccay%2520December.jpg
Fashion,"Addison Rae, Jourdan Dunn and Dua Lipa lead the best-dressed on the red carpet at London's Fashion Awards",Prepare for some seriously epic fashion moments…,https://www.glamourmagazine.co.uk/gallery/fashion-awards-red-carpet-best-dressed-2021,Charlie Teather ,https://media.glamourmagazine.co.uk/photos/61a6228e6edc339583b203c6/4:3/w_1600%2Cc_limit/FASHIONAWARDSGALLERY_30112021_SQ.jpg
Gift Guides,Best friend gifts to celebrate your long distance or nearby bestie – whether it's her birthday or 'just because',Presents for best friends that she'll absolutely adore.,https://www.glamourmagazine.co.uk/gallery/best-friend-gifts,Sophie Cockett Georgia Trodd ,https://media.glamourmagazine.co.uk/photos/613899b52b5bbea0082921d3/4:3/w_1600%2Cc_limit/shutterstock_editorial_10564347ah_sq.jpg
Christmas,The best Christmas pyjamas to buy now and wear every night ‘til January (or beyond…we won’t tell),PJ sets that will have you dreaming of a white Christmas.,https://www.glamourmagazine.co.uk/gallery/best-christmas-pyjamas,Alexandria Dale Millie Feroze Georgia Trodd ,https://media.glamourmagazine.co.uk/photos/61a60d124af52b638327edb3/4:3/w_1600%2Cc_limit/PJS301121_NEWDEFAULT2.jpg
Fashion,Pamela Anderson’s most iconic fashion moments of all time,A look back at the queen of Bombshell dressing.,https://www.glamourmagazine.co.uk/gallery/pamela-anderson-style,Sagal Mohammed ,https://media.glamourmagazine.co.uk/photos/61a607160a4b312c935f501d/4:3/w_1600%2Cc_limit/PAMAND_11302021_GettyImages-788328_SQ.jpg
Fashion,Parma violet and purple are the freshest colours we're seeing on Instagram right now,Purple Reigns,https://www.glamourmagazine.co.uk/gallery/violet-fashion-trend,Alexandra Fullerton ,https://media.glamourmagazine.co.uk/photos/61a1187514d87829722ff025/4:3/w_1600%2Cc_limit/VIOLET261121_11262021_GettyImages-1346488306_SQ.jpg
