Fashion vocabulary with top 3 prefices and suffices
            Prefix3            Prefix2               Prefix1          Keyword                         Suffix1            Suffix2        Suffix3
34                -          (mini, 2)          (pannier, 1)          dresses                      (latex, 1)          (hems, 1)     (louis, 1)
35                -                  -             (pair, 1)      dressmaking                     (shears, 1)                  -              -
36                -                  -      (kittenheels, 1)          elegant                      (feels, 1)                  -              -
37                -                  -       (generation, 1)             fall                     (single, 1)                  -              -
38                -                  -           (guccis, 1)        feathered                       (coat, 1)                  -              -
39                -                  -         (imagined, 1)           figure                    (vampire, 1)                  -              -
40                -                  -        (oversized, 4)              fit                   (multiple, 4)                  -              -
41                -                  -          (sinuous, 4)             fits                      (crisp, 4)                  -              -
42                -                  -           (flutes, 2)           flying                      (hours, 2)                  -              -
43                -                  -             (coat, 1)           fringe                      (feels, 1)                  -              -
44                -                  -          (stripes, 1)          fringed                    (stripes, 1)                  -              -
45                -                  -            (jeans, 1)        goldbraid                (embellished, 1)                  -              -
46                -         (micro, 4)        (aboutjust, 2)         hemlines                     (demure, 2)         (board, 2)   (miuccia, 2)
47                -       (dresses, 2)           (mullet, 2)             hems                      (2010s, 2)       (chopped, 2)              -
48                -                  -      (transparent, 3)             lace                       (mini, 3)                  -              -
49                -                  -          (slimfit, 1)        lapelfree                 (motorcycle, 1)                  -              -
50                -                  -            (sharp, 1)           lapels                   (feminine, 1)                  -              -
51                -         (funky, 1)           (strips, 1)          leather                    (braided, 1)         (mixed, 1)              -
52       (74183, 1)        (armani, 1)        (libertine, 1)            lines                 (marniheres, 1)          (duro, 1)     (75183, 1)
53                -                  -            (sense, 1)        loosening                  (permeated, 1)                  -              -
54                -          (etro, 1)          (draping, 1)          lowrise                      (pants, 1)  (stomachbared, 1)              -
55       (59183, 1)       (mcqueen, 1)        (reactions, 1)       maximilian                     (spikes, 1)       (collina, 1)     (60183, 1)
56                -                  -         (creating, 1)          maximum                      (drama, 1)                  -              -
57                -                  -  (girlslowwaisted, 2)         mermaids                  (newseason, 2)                  -              -
58                -                  -        (sparkling, 3)             mesh                   (crystals, 3)                  -              -
59   (andersons, 1)         (caped, 1)             (lace, 1)             mini                      (dress, 1)       (dresses, 2)              -
60                -                  -       (marniheres, 1)      minimalists                      (shock, 1)                  -              -
61                -                  -             (mius, 1)            minis                       (racy, 1)                  -              -
62                -        (129183, 6)         (westwood, 6)             no21                      (david, 6)        (130183, 6)              -
63                -          (exit, 6)          (againon, 6)             note                      (heard, 6)    (advocating, 6)              -
64                -    (succinctly, 6)            (prada, 6)            notes                       (sexy, 6)           (lot, 6)              -
65                -                  -            (torch, 1)            outre                       (sexy, 1)                  -              -
66                -                  -            (prada, 1)        oversized                        (fit, 1)                  -              -
67       (cargo, 3)       (lowrise, 3)           (cotton, 3)            pants                       (deep, 3)          (body, 3)    (popped, 3)
68                -                  -        (enjoyment, 6)             pink                      (prada, 6)                  -              -
69                -                  -             (ease, 3)          pleated                      (skirt, 3)                  -              -
70                -        (guccis, 2)           (reveal, 2)              red                      (satin, 2)         (caped, 2)              -
71                -                  -              (pho, 2)          reduced                     (edited, 2)                  -              -
72                -         (prada, 1)              (red, 1)            satin             (superherostyle, 1)          (tail, 1)              -
73                -                  -             (town, 2)          sequins                  (chainmail, 2)                  -              -
74                -                  -           (staple, 2)              set               (dominatecome, 2)                  -              -
75       (notes, 1)       (feeling, 1)            (takes, 1)             sexy                    (backits, 1)     (donatella, 1)      (isit, 1)
76  (trendsuper, 1)          (card, 1)            (short, 1)            sheer                 (secondskin, 1)  (bodywrapping, 1)     (super, 1)
77       (super, 1)    (waistcoats, 1)              (pot, 1)            short                      (sheer, 1)         (cargo, 1)       (key, 1)
78                -                  -             (puff, 4)        shoulders                  (smothered, 4)                  -              -
79                -                  -           (chains, 2)           skinny                 (completely, 2)                  -              -
80                -       (pleated, 2)           (shears, 2)            skirt                       (worn, 2)          (luck, 2)              -
81                -                  -            (cargo, 2)           skirts              (floorsweeping, 2)                  -              -
82       (shape, 1)        (models, 1)             (walk, 1)           spring                   (embraced, 1)      (bringing, 1)  (fashions, 1)
83                -                  -             (luck, 1)          springs                    (fashion, 1)                  -              -
84     (biggest, 1)        (partly, 1)         (dominant, 1)     springsummer                       (2022, 5)                  -              -
85                -                  -           (looked, 2)  straightforward                      (tonal, 2)                  -              -
86                -                  -           (single, 2)            strap                     (throat, 2)                  -              -
87                -       (fringed, 3)      (selfassured, 3)          stripes                    (fringed, 3)           (yup, 3)              -
88                -                  -           (hotvax, 1)           summer                     (people, 1)                  -              -
89                -                  -         (embraced, 1)       thighslits                   (midriffs, 1)                  -              -
90                -      (pastcrop, 4)         (goingout, 4)             tops                     (paired, 4)   (butterflies, 4)              -
91                -                  -        (valentino, 3)          updates                      (white, 3)                  -              -
92                -                  -      (embellished, 6)       waistcoats                      (short, 6)                  -              -
93                -                  -         (bohemian, 1)             warm                       (cosy, 1)                  -              -
94     (updates, 4)         (crisp, 4)          (colgate, 4)            white                     (trains, 4)          (worn, 4)   (cottons, 4)
95                -                  -    (schoolmarmish, 1)             wool                 (offsetting, 1)                  -              -
